,scenario,sol1,penalty,cost,obj,infeas
60,scenario_67,sol1_2_3.txt,0.9260539536247265,458126.4200538965,458127.34610785014,0
61,scenario_67,sol1_13_5.txt,8327.266562259654,499782.17093172134,508109.437493981,0
62,scenario_67,sol1_28_3.txt,0.0029427172825591133,379634.06834912684,379634.0712918441,0
63,scenario_67,sol1_15_3.txt,0.003403840436851861,380296.7413374388,380296.7447412792,0
64,scenario_67,sol1_17_1.txt,32237.65383107376,514395.6231048086,546633.2769358824,0
65,scenario_67,sol1_4_5.txt,0.2837781403071209,419557.9789127337,419558.26269087405,0
66,scenario_67,sol1_4_4.txt,0.015352483854742891,414557.7310783096,414557.7464307934,0
67,scenario_67,sol1_15_2.txt,0.0034037207820856227,380261.4207728384,380261.4241765592,0
68,scenario_67,sol1_28_2.txt,0.002775872387782456,374321.6175808136,374321.62035668595,0
69,scenario_67,sol1_13_4.txt,0.005571276731657559,381662.93055247026,381662.936123747,0
70,scenario_67,sol1_2_2.txt,0.6275030995266009,458375.9786848483,458376.6061879478,0
71,scenario_67,sol1_11_4.txt,0.00502000218521371,389172.83546234533,389172.8404823475,0
72,scenario_67,sol1_6_4.txt,0.00924409649304082,385586.4848587491,385586.49410284555,0
73,scenario_67,sol1_17_2.txt,0.005020548225076341,406373.7623383035,406373.76735885174,0
74,scenario_67,sol1_17_3.txt,0.005020545563311218,398685.3846795814,398685.38970012695,0
75,scenario_67,sol1_6_5.txt,0.8595419398453218,388921.7511611758,388922.61070311564,0
76,scenario_67,sol1_15_1.txt,2.988595169675,408692.34566426027,408695.33425942995,0
77,scenario_67,sol1_28_1.txt,0.002794538330212412,361118.4253909275,361118.42818546586,0
78,scenario_67,sol1_2_1.txt,0.457271524896243,458870.0750015749,458870.53227309976,0
79,scenario_67,sol1_11_5.txt,2.1179771795428373,421366.70624272653,421368.82421990606,0
80,scenario_67,sol1_11_1.txt,93930.93858550918,409095.61998837156,503026.55857388076,0
81,scenario_67,sol1_2_5.txt,1.8724064298985157,457938.8888405788,457940.7612470087,0
82,scenario_67,sol1_13_3.txt,0.005571265883084543,382696.22769545985,382696.2332667257,0
83,scenario_67,sol1_28_5.txt,0.0027951671353963325,381400.92628928315,381400.9290844503,0
84,scenario_67,sol1_15_5.txt,77787.90009066084,477641.48553771095,555429.3856283717,0
85,scenario_67,sol1_6_1.txt,32753.19689896106,497875.2670767758,530628.4639757369,0
86,scenario_67,sol1_4_3.txt,0.015352601255032685,413348.1317399258,413348.14709252707,0
87,scenario_67,sol1_4_2.txt,0.015352693638403603,413182.94909930014,413182.96445199376,0
88,scenario_67,sol1_15_4.txt,0.0034039496418878257,381864.94948767644,381864.9528916261,0
89,scenario_67,sol1_28_4.txt,0.002939505609913075,380270.4209947253,380270.42393423093,0
90,scenario_67,sol1_13_2.txt,0.005571292741214521,390944.34418742405,390944.34975871677,0
91,scenario_67,sol1_2_4.txt,2.027310592130088,457952.3293159848,457954.3566265769,0
92,scenario_67,sol1_11_2.txt,0.004934522573326683,386628.45338014245,386628.458314665,0
